LOGO,CATEGORY,RANK,ITEM_ID,IS_NEW
default,Home & Outdoor,19,SM-3267,false
default,Home & Outdoor,20,SM-7796,false
default,Home & Outdoor,21,SM-8799,false
default,Home & Outdoor,22,1080-02,false
default,Home & Outdoor,23,8850-01,false
default,Home & Outdoor,24,7950-88,false
default,Home & Outdoor,25,SM-9846,false
default,Home & Outdoor,26,SM-9403,false
default,Home & Outdoor,27,SM-7659,false
default,Home & Outdoor,28,1033-78,false
default,Home & Outdoor,29,SM-7765,false
default,Home & Outdoor,30,SM-1610,false
default,Home & Outdoor,31,1033-85,false
default,Home & Outdoor,32,1070-15,false
default,Home & Outdoor,33,1430-28,false
default,Home & Outdoor,34,SM-1582,false
default,Home & Outdoor,35,SM-9401,false
default,Home & Outdoor,36,1401-20,false
default,Home & Outdoor,37,1080-06,false
default,Home & Outdoor,38,SM-1502,false
default,Home & Outdoor,39,1070-79,false
default,Home & Outdoor,40,SM-9408,false
default,Home & Outdoor,41,1070-87,false
default,Home & Outdoor,42,1081-81,false
default,Home & Outdoor,43,7951-88,false
default,Home & Outdoor,44,1081-72,false
default,Home & Outdoor,45,1031-62,false
default,Home & Outdoor,46,SM-7655,false
default,Home & Outdoor,47,SM-8713,false
default,Home & Outdoor,48,SM-8710,false
default,Home & Outdoor,49,7950-51,false
default,Home & Outdoor,50,7950-89,false
default,Home & Outdoor,51,8850-02,false
default,Home & Outdoor,52,3002-35,false
default,Home & Outdoor,53,SM-8798,false
default,Home & Outdoor,54,1033-64,false
default,Home & Outdoor,55,1033-93,false
default,Home & Outdoor,56,1081-06,false
default,Home & Outdoor,57,SM-7700,false
default,Home & Outdoor,58,1400-32,false
default,Home & Outdoor,59,SM-7705,false
default,Home & Outdoor,60,1082-02,false
default,Home & Outdoor,61,SM-2396,false
default,Home & Outdoor,62,1033-94,false
default,Home & Outdoor,63,1081-11,false
default,Home & Outdoor,64,1031-56,false
default,Home & Outdoor,65,1081-45,false
default,Home & Outdoor,66,SM-7719,false
default,Home & Outdoor,67,SM-7749,false
default,Home & Outdoor,68,1081-54,false
default,Home & Outdoor,69,SM-8712,false
default,Home & Outdoor,70,SM-7724,false
default,Home & Outdoor,71,1080-49,false
default,Home & Outdoor,72,1033-65,false
default,Home & Outdoor,73,SM-1506,false
default,Home & Outdoor,74,1400-56,false
default,Home & Outdoor,75,1080-03,false
default,Home & Outdoor,76,1080-04,false
default,Home & Outdoor,77,1081-12,false
default,Home & Outdoor,78,SM-7709,false
default,Home & Outdoor,79,1070-94,false
default,Home & Outdoor,80,1072-18,false
default,Home & Outdoor,81,1070-81,false
default,Home & Outdoor,82,1080-34,false
default,Home & Outdoor,83,1081-51,false
default,Home & Outdoor,84,1081-89,false
default,Home & Outdoor,85,5050-01,true
default,Home & Outdoor,86,1081-08,false
default,Home & Outdoor,87,1081-58,false
default,Home & Outdoor,88,1081-57,false
default,Home & Outdoor,89,1081-41,false
default,Home & Outdoor,90,1080-37,false
default,Home & Outdoor,91,1431-62,false
default,Home & Outdoor,92,1080-67,false
default,Home & Outdoor,93,5050-02,true
default,Home & Outdoor,94,1010-05,false
default,Home & Outdoor,95,1450-07,false
default,Home & Outdoor,96,3350-64,false
default,Home & Outdoor,97,1400-10,false
default,Home & Outdoor,98,1081-52,false
default,Home & Outdoor,99,SM-9350,false
default,Home & Outdoor,100,1400-57,false
default,Home & Outdoor,101,SM-1700,false
default,Home & Outdoor,102,1033-86,false
default,Home & Outdoor,103,1081-56,false
default,Home & Outdoor,104,5050-04,true
default,Home & Outdoor,105,1080-72,false
default,Home & Outdoor,106,8052-87,false
default,Home & Outdoor,107,1450-44,false
default,Home & Outdoor,108,5050-03,true
default,Home & Outdoor,109,8052-84,false
default,Home & Outdoor,110,1430-58,false
default,Home & Outdoor,111,1034-15,false
default,Home & Outdoor,112,1431-05,false
default,Home & Outdoor,113,1033-72,false
default,Home & Outdoor,114,SM-1609,false
default,Home & Outdoor,115,1431-55,false
default,Home & Outdoor,116,1095-02,false
default,Home & Outdoor,117,1095-01,false
default,Home & Outdoor,118,1095-03,false
default,Home & Outdoor,119,1081-78,false
default,Home & Outdoor,120,SM-9527,false
default,Home & Outdoor,121,1631-25,false
default,Home & Outdoor,122,1010-08,false
default,Home & Outdoor,123,1400-12,false
default,Home & Outdoor,124,SM-1706,false
default,Home & Outdoor,125,SM-9526,false
default,Home & Outdoor,126,1095-04,false
default,Home & Outdoor,127,1400-55,false
default,Home & Outdoor,128,8053-17,false
default,Home & Outdoor,129,1081-80,false
default,Home & Outdoor,130,8053-15,false
default,Home & Outdoor,131,SM-1709,false
default,Home & Outdoor,132,1883-03,false
default,Home & Outdoor,133,8053-16,false
default,Home & Outdoor,134,SM-1703,false
default,Apparel,1,TM16398,false
default,Apparel,2,TM96398,false
default,Apparel,3,TM18209,false
default,Apparel,4,TM18135,false
default,Apparel,5,TM17879,false
default,Apparel,6,TM16311,false
default,Apparel,7,TM16512,false
default,Apparel,8,TM98209,false
default,Apparel,9,TM16312,false
default,Apparel,10,TM98117,false
default,Apparel,11,TM18117,false
default,Apparel,12,TM16252,false
default,Apparel,13,TM98130,false
default,Apparel,14,TM98135,false
default,Apparel,15,TM18130,false
default,Apparel,16,TM97814,false
default,Apparel,17,TM18304,false
default,Apparel,18,TM16209,false
default,Apparel,19,TM19534,false
default,Apparel,20,TM12940,false
default,Apparel,21,TM18306,false
default,Apparel,22,TM18408,false
default,Apparel,23,TM17810,false
default,Apparel,24,TM18216,false
default,Apparel,25,TM12937,false
default,Apparel,26,TM96252,false
default,Apparel,27,TM96512,false
default,Apparel,28,TM99547,false
default,Apparel,29,TM16309,false
default,Apparel,30,TM97879,false
default,Apparel,31,TM17814,false
default,Apparel,32,TM19307,false
default,Apparel,33,TM19547,false
default,Apparel,34,TM19101,false
default,Apparel,35,TM97810,false
default,Apparel,36,TM92937,false
default,Apparel,37,TM96311,false
default,Apparel,38,TM98304,false
default,Apparel,39,TM18139,false
default,Apparel,40,TM92940,false
default,Apparel,41,TM96312,false
default,Apparel,42,TM98306,false
default,Apparel,43,TM12604,false
default,Apparel,44,TM99534,false
